title,published,id,url,main_topic,all_topics,authors,year
LSEH: Semantically Enhanced Hard Negatives for Cross-modal Information Retrieval,2022-10-10 15:09:39+00:00,44,"""http://arxiv.org/pdf/2210.04754v1""",cs.CV,"['cs.CV', 'cs.IR']","['YAN GONG', 'GEORGINA COSMA']",2022
Multi-mode fiber reservoir computing overcomes shallow neural networks classifiers,2022-10-10 14:55:02+00:00,45,"""http://arxiv.org/pdf/2210.04745v1""",physics.optics,"['physics.optics', 'physics.app-ph', 'physics.data-an', 'stat.ML']","['DANIELE ANCORA', 'MATTEO NEGRI', 'ANTONIO GIANFRATE', 'DIMITRIS TRYPOGEORGOS', 'LORENZO DOMINICI', 'DANIELE SANVITTO', 'FEDERICO RICCI-TERSENGHI', 'LUCA LEUZZI']",2022
PyHopper -- Hyperparameter optimization,2022-10-10 14:35:01+00:00,46,"""http://arxiv.org/pdf/2210.04728v1""",cs.LG,['cs.LG'],"['MATHIAS LECHNER', 'RAMIN HASANI', 'PHILIPP NEUBAUER', 'SOPHIE NEUBAUER', 'DANIELA RUS']",2022
Knowledge Prompts: Injecting World Knowledge into Language Models through Soft Prompts,2022-10-10 14:31:16+00:00,47,"""http://arxiv.org/pdf/2210.04726v1""",cs.CL,"['cs.CL', 'cs.AI', 'cs.LG']","['CICERO NOGUEIRA DOS SANTOS', 'ZHE DONG', 'DANIEL CER', 'JOHN NHAM', 'SIAMAK SHAKERI', 'JIANMO NI', 'YUN-HSUAN SUNG']",2022
Experiential Explanations for Reinforcement Learning,2022-10-10 14:27:53+00:00,48,"""http://arxiv.org/pdf/2210.04723v1""",cs.AI,"['cs.AI', 'cs.HC']","['AMAL ALABDULKARIM', 'MARK O. RIEDL']",2022
Uncertainty Quantification with Pre-trained Language Models: A Large-Scale Empirical Analysis,2022-10-10 14:16:01+00:00,49,"""http://arxiv.org/pdf/2210.04714v1""",cs.CL,"['cs.CL', 'cs.LG', 'stat.ML']","['YUXIN XIAO', 'PAUL PU LIANG', 'UMANG BHATT', 'WILLIE NEISWANGER', 'RUSLAN SALAKHUTDINOV', 'LOUIS-PHILIPPE MORENCY']",2022
Update on the LLRF operations status at the European XFEL,2022-10-10 14:09:42+00:00,50,"""http://arxiv.org/pdf/2210.04711v1""",physics.acc-ph,['physics.acc-ph'],"['M. DIOMEDE', 'V. AYVAZYAN', 'J. BRANLARD', 'M. GRECKI', 'M. HIERHOLZER', 'M. HOFFMANN', 'B. LAUTENSCHLAGER', 'S. PFEIFFER', 'C. SCHMIDT', 'N. WALKER']",2022
Policy Learning with New Treatments,2022-10-10 14:00:51+00:00,51,"""http://arxiv.org/pdf/2210.04703v1""",econ.EM,['econ.EM'],['SAMUEL HIGBEE'],2022
'Sawfish' Photonic Crystal Cavity for Near-Unity Emitter-to-Fiber Interfacing in Quantum Network Applications,2022-10-10 14:00:39+00:00,52,"""http://arxiv.org/pdf/2210.04702v1""",quant-ph,"['quant-ph', 'physics.optics']","['JULIAN M. BOPP', 'MATTHIAS PLOCK', 'TIM TURAN', 'GREGOR PIEPLOW', 'SVEN BURGER', 'TIM SCHRÖDER']",2022
FedBA: Non-IID Federated Learning Framework in UAV Networks,2022-10-10 13:55:55+00:00,53,"""http://arxiv.org/pdf/2210.04699v1""",cs.LG,['cs.LG'],"['PEI LI', 'ZHIJUN LIU', 'LUYI CHANG', 'JIALIANG PENG', 'YI WU']",2022
Language Models Are Poor Learners of Directional Inference,2022-10-10 13:43:16+00:00,54,"""http://arxiv.org/pdf/2210.04695v1""",cs.CL,['cs.CL'],"['TIANYI LI', 'MOHAMMAD JAVAD HOSSEINI', 'SABINE WEBER', 'MARK STEEDMAN']",2022
Language Prior Is Not the Only Shortcut: A Benchmark for Shortcut Learning in VQA,2022-10-10 13:39:08+00:00,55,"""http://arxiv.org/pdf/2210.04692v1""",cs.CV,['cs.CV'],"['QINGYI SI', 'FANDONG MENG', 'MINGYU ZHENG', 'ZHENG LIN', 'YUANXIN LIU', 'PENG FU', 'YANAN CAO', 'WEIPING WANG', 'JIE ZHOU']",2022
"Learning ""O"" Helps for Learning More: Handling the Concealed Entity Problem for Class-incremental NER",2022-10-10 13:26:45+00:00,56,"""http://arxiv.org/pdf/2210.04676v1""",cs.CL,"['cs.CL', 'cs.AI']","['RUOTIAN MA', 'XUANTING CHEN', 'LIN ZHANG', 'TAO GUI', 'QI ZHANG', 'XUANJING HUANG']",2022
A Survey of Methods for Addressing Class Imbalance in Deep-Learning Based Natural Language Processing,2022-10-10 13:26:40+00:00,57,"""http://arxiv.org/pdf/2210.04675v1""",cs.CL,"['cs.CL', 'cs.AI']","['SOPHIE HENNING', 'WILLIAM H. BELUCH', 'ALEXANDER FRASER', 'ANNEMARIE FRIEDRICH']",2022
Exploiting map information for self-supervised learning in motion forecasting,2022-10-10 13:23:41+00:00,58,"""http://arxiv.org/pdf/2210.04672v1""",cs.CV,['cs.CV'],"['CAIO AZEVEDO', 'THOMAS GILLES', 'STEFANO SABATINI', 'DZMITRY TSISHKOU']",2022
Towards Developing and Analysing Metric-Based Software Defect Severity Prediction Model,2022-10-10 13:10:56+00:00,59,"""http://arxiv.org/pdf/2210.04665v1""",cs.SE,['cs.SE'],"['UMAMAHESWARA SHARMA B', 'RAVICHANDRA SADAM']",2022
Controlled defect production in monolayer MoS2 via electron irradiation at ultralow accelerating voltages,2022-10-10 13:09:26+00:00,60,"""http://arxiv.org/pdf/2210.04662v1""",cond-mat.mes-hall,['cond-mat.mes-hall'],"['AJIT KUMAR DASH', 'HARIHARAN SWAMINATHAN', 'ETHAN BERGER', 'MAINAK MONDAL', 'TOUKO LEHENKARI', 'PUSHP RAJ PRASAD', 'KENJI WATANABE', 'TAKASHI TANIGUCHI', 'HANNU-PEKKA KOMSA', 'AKSHAY SINGH']",2022
Rejecting noise in Baikal-GVD data with neural networks,2022-10-10 12:56:44+00:00,61,"""http://arxiv.org/pdf/2210.04653v1""",astro-ph.IM,"['astro-ph.IM', 'astro-ph.HE', 'cs.LG']","['I. KHARUK', 'G. RUBTSOV', 'G. SAFRONOV']",2022
Association Graph Learning for Multi-Task Classification with Category Shifts,2022-10-10 12:37:41+00:00,62,"""http://arxiv.org/pdf/2210.04637v1""",cs.CV,['cs.CV'],"['JIAYI SHEN', 'ZEHAO XIAO', 'XIANTONG ZHEN', 'CEES G. M. SNOEK', 'MARCEL WORRING']",2022
FaDIn: Fast Discretized Inference for Hawkes Processes with General Parametric Kernels,2022-10-10 12:35:02+00:00,63,"""http://arxiv.org/pdf/2210.04635v1""",stat.ML,"['stat.ML', 'cs.LG']","['GUILLAUME STAERMAN', 'CÉDRIC ALLAIN', 'ALEXANDRE GRAMFORT', 'THOMAS MOREAU']",2022
A Prospective Analysis of Security Vulnerabilities within Link Traversal-Based Query Processing (Extended Version),2022-10-10 12:30:44+00:00,64,"""http://arxiv.org/pdf/2210.04631v1""",cs.CR,"['cs.CR', 'cs.DB']","['RUBEN TAELMAN', 'RUBEN VERBORGH']",2022
Non-invasive color imaging through scattering medium under broadband illumination,2022-10-10 12:29:58+00:00,65,"""http://arxiv.org/pdf/2210.04630v1""",physics.optics,"['physics.optics', 'eess.IV']","['YUNONG SUN', 'JIANBIN LIU', 'HUI CHEN', 'ZHUORAN XI', 'YU ZHOU', 'YUCHEN HE', 'HUAIBIN ZHENG', 'ZHUO XU', 'YUAN YUAN']",2022
Investigation of inverse design of multilayer thin-films with conditional invertible Neural Networks,2022-10-10 12:29:20+00:00,66,"""http://arxiv.org/pdf/2210.04629v1""",physics.comp-ph,"['physics.comp-ph', 'cs.LG']","['ALEXANDER LUCE', 'ALI MAHDAVI', 'HERIBERT WANKERL', 'FLORIAN MARQUARDT']",2022
Calibrating AI Models for Few-Shot Demodulation via Conformal Prediction,2022-10-10 12:18:52+00:00,67,"""http://arxiv.org/pdf/2210.04621v1""",eess.SP,"['eess.SP', 'cs.IT', 'math.IT']","['KFIR M. COHEN', 'SANGWOO PARK', 'OSVALDO SIMEONE', 'SHLOMO SHAMAI']",2022
FLamby: Datasets and Benchmarks for Cross-Silo Federated Learning in Realistic Healthcare Settings,2022-10-10 12:17:30+00:00,68,"""http://arxiv.org/pdf/2210.04620v1""",cs.LG,"['cs.LG', 'cs.CV']","['JEAN OGIER DU TERRAIL', 'SAMY-SAFWAN AYED', 'EDWIGE CYFFERS', 'FELIX GRIMBERG', 'CHAOYANG HE', 'REGIS LOEB', 'PAUL MANGOLD', 'TANGUY MARCHAND', 'OTHMANE MARFOQ', 'ERUM MUSHTAQ', 'BORIS MUZELLEC', 'CONSTANTIN PHILIPPENKO', 'SANTIAGO SILVA', 'MARIA TELEŃCZUK', 'SHADI ALBARQOUNI', 'SALMAN AVESTIMEHR', 'AURÉLIEN BELLET', 'AYMERIC DIEULEVEUT', 'MARTIN JAGGI', 'SAI PRANEETH KARIMIREDDY', 'MARCO LORENZI', 'GIOVANNI NEGLIA', 'MARC TOMMASI', 'MATHIEU ANDREUX']",2022
Joint Multi-grained Popularity-aware Graph Convolution Collaborative Filtering for Recommendation,2022-10-10 12:11:27+00:00,69,"""http://arxiv.org/pdf/2210.04614v1""",cs.IR,['cs.IR'],"['KANG LIU', 'FENG XUE', 'XIANGNAN HE', 'DAN GUO', 'RICHANG HONG']",2022
ParaDime: A Framework for Parametric Dimensionality Reduction,2022-10-10 11:36:56+00:00,70,"""http://arxiv.org/pdf/2210.04582v1""",cs.LG,['cs.LG'],"['ANDREAS HINTERREITER', 'CHRISTINA HUMER', 'BERNHARD KAINZ', 'MARC STREIT']",2022
Is your noise correction noisy? PLS: Robustness to label noise with two stage detection,2022-10-10 11:32:28+00:00,71,"""http://arxiv.org/pdf/2210.04578v1""",cs.CV,"['cs.CV', 'cs.LG']","['PAUL ALBERT', 'ERIC ARAZO', 'TARUN KIRSHNA', ""NOEL E. O'CONNOR"", 'KEVIN MCGUINNESS']",2022
HumSet: Dataset of Multilingual Information Extraction and Classification for Humanitarian Crisis Response,2022-10-10 11:28:07+00:00,72,"""http://arxiv.org/pdf/2210.04573v1""",cs.CL,"['cs.CL', 'cs.LG']","['SELIM FEKIH', 'NICOLÒ TAMAGNONE', 'BENJAMIN MINIXHOFER', 'RANJAN SHRESTHA', 'XIMENA CONTLA', 'EWAN OGLETHORPE', 'NAVID REKABSAZ']",2022
A Learning-based approach for bias elimination in low cost gyroscopes,2022-10-10 11:16:45+00:00,73,"""http://arxiv.org/pdf/2210.04568v1""",eess.SP,['eess.SP'],"['DANIEL ENGELSMAN', 'ITZIK KLEIN']",2022
BoundaryFace: A mining framework with noise label self-correction for Face Recognition,2022-10-10 11:12:24+00:00,74,"""http://arxiv.org/pdf/2210.04567v1""",cs.CV,['cs.CV'],"['SHIJIE WU', 'XUN GONG']",2022
Towards Robust Visual Question Answering: Making the Most of Biased Samples via Contrastive Learning,2022-10-10 11:05:21+00:00,75,"""http://arxiv.org/pdf/2210.04563v1""",cs.CV,"['cs.CV', 'cs.AI']","['QINGYI SI', 'YUANXIN LIU', 'FANDONG MENG', 'ZHENG LIN', 'PENG FU', 'YANAN CAO', 'WEIPING WANG', 'JIE ZHOU']",2022
A Comprehensive Survey of Data Augmentation in Visual Reinforcement Learning,2022-10-10 11:01:57+00:00,76,"""http://arxiv.org/pdf/2210.04561v1""",cs.CV,"['cs.CV', 'cs.AI']","['GUOZHENG MA', 'ZHEN WANG', 'ZHECHENG YUAN', 'XUEQIAN WANG', 'BO YUAN', 'DACHENG TAO']",2022
Visually Similar Products Retrieval for Shopsy,2022-10-10 10:59:18+00:00,77,"""http://arxiv.org/pdf/2210.04560v1""",cs.CV,"['cs.CV', '94A08', 'I.4.9']","['PRAJIT NADKARNI', 'NARENDRA VARMA DASARARAJU']",2022
CLIP-Diffusion-LM: Apply Diffusion Model on Image Captioning,2022-10-10 10:55:53+00:00,78,"""http://arxiv.org/pdf/2210.04559v1""",cs.CV,"['cs.CV', 'cs.LG']",['SHITONG XU'],2022
Everything is Varied: The Surprising Impact of Individual Variation on ML Robustness in Medicine,2022-10-10 10:49:06+00:00,79,"""http://arxiv.org/pdf/2210.04555v1""",cs.LG,['cs.LG'],"['ANDRA CAMPAGNER', 'LORENZO FAMIGLINI', 'ANNA CAROBENE', 'FEDERICO CABITZA']",2022
Comparing the carbon costs and benefits of low-resource solar nowcasting,2022-10-10 10:48:34+00:00,80,"""http://arxiv.org/pdf/2210.04554v1""",cs.LG,"['cs.LG', 'cs.CV']","['BEN DIXON', 'MARÍA PÉREZ-ORTIZ', 'JACOB BIEKER']",2022
"Intrinsic motivation, Need for cognition, Grit, Growth Mindset and Academic Achievement in High School Students: Latent Profiles and Its Predictive Effects",2022-10-10 10:47:22+00:00,81,"""http://arxiv.org/pdf/2210.04552v1""",physics.ed-ph,"['physics.ed-ph', 'q-bio.NC', '62P15 (Primary)', 'G.2']","['JUN WU', 'SHUOLI QI', 'YUESHAN ZHONG']",2022
Automatic Evaluation and Analysis of Idioms in Neural Machine Translation,2022-10-10 10:30:09+00:00,82,"""http://arxiv.org/pdf/2210.04545v1""",cs.CL,['cs.CL'],"['CHRISTOS BAZIOTIS', 'PRASHANT MATHUR', 'EVA HASLER']",2022
Sparse Semantic Map-Based Monocular Localization in Traffic Scenes Using Learned 2D-3D Point-Line Correspondences,2022-10-10 10:29:07+00:00,83,"""http://arxiv.org/pdf/2210.04543v1""",cs.CV,['cs.CV'],"['XINGYU CHEN', 'JIANRU XUE', 'SHANMIN PANG']",2022
